Country,Year,PrimaryEnrollment,GDP_per_capita
Kenya,2001,5148371.0,395.329471608887
Kenya,2002,4903529.0,389.542630201236
Kenya,2003,5811381.0,429.787818950371
Kenya,2004,5926078.0,451.668766613608
Kenya,2005,6075706.0,511.616394301253
Kenya,2006,6101390.0,685.954422921829
Kenya,2007,6687510.0,825.666554958746
Kenya,2008,6868810.0,902.06995780481
Kenya,2009,7150259.0,1035.33878664497
Kenya,2010,,1080.29618449063
Kenya,2011,,1085.48715171437
Kenya,2012,8053125.0,1271.8153829134
Kenya,2013,,1354.8208334252
Kenya,2014,8158000.0,1462.22005213295
Kenya,2015,8168710.0,1464.55400904329
Kenya,2016,8290450.0,1525.23519224992
Kenya,2017,,1633.49121639293
Kenya,2018,,1794.0911754468
Kenya,2019,,1909.30453654793
Kenya,2020,,1872.12402649219
